Iteration	Posterior	Likelihood	Prior	rate01	rate_log_sd	tree_length
0	-1887.571	-2075.698	188.1271	0.2137423	1.490131	2.325374
6	-1882.578	-2070.558	187.9797	0.3272008	1.547614	2.200662
12	-1891.571	-2079.864	188.2935	0.186835	1.601654	2.198542
18	-1882.884	-2070.891	188.0069	0.2197505	1.5794	2.334176
24	-1890.909	-2078.98	188.0713	0.2405567	1.606823	2.238776
30	-1884.61	-2071.872	187.2619	0.1675202	1.541399	2.916741
36	-1886.69	-2072.979	186.2894	0.2820364	1.414132	3.379151
42	-1880.807	-2067.532	186.7249	0.2254231	1.478597	3.170787
48	-1881.753	-2069.031	187.2774	0.2284739	1.458195	2.846525
54	-1882.093	-2069.819	187.7263	0.2284739	1.527927	2.527871
60	-1876.135	-2063.157	187.0225	0.2391372	1.401669	3.016772
66	-1882.275	-2069.509	187.2334	0.1899327	1.332142	3.016772
72	-1889.442	-2076.286	186.8446	0.2517739	1.384214	3.113562
78	-1888.296	-2076.033	187.7372	0.1934991	1.35439	2.691148
84	-1894.319	-2081.64	187.321	0.1934991	1.434681	2.895738
90	-1899.31	-2086.287	186.9772	0.2808888	1.541472	2.895738
96	-1905.525	-2091.714	186.1894	0.3352708	1.53724	3.293813
102	-1903.233	-2091.107	187.874	0.2100752	1.582577	2.433771
108	-1911.199	-2098.987	187.7886	0.2074172	1.620764	2.468278
114	-1895.384	-2082.303	186.9188	0.2356947	1.596079	2.96793
120	-1894.012	-2080.923	186.9109	0.1957341	1.37678	3.171895
126	-1887.947	-2074.848	186.9015	0.1603607	1.499309	3.171895
132	-1884.904	-2072.527	187.6236	0.2291334	1.486955	2.615937
138	-1886.97	-2074.741	187.771	0.2574983	1.596966	2.408102
144	-1881.831	-2069.639	187.8074	0.1822314	1.58154	2.528867
150	-1882.213	-2070.116	187.9026	0.2683786	1.518227	2.357247
156	-1885.973	-2074.481	188.5082	0.1867109	1.64566	2.029333
162	-1883.109	-2071.762	188.6531	0.1725965	1.766284	1.881083
168	-1873.917	-2062.63	188.7131	0.1162724	1.778904	1.968475
174	-1893.479	-2081.967	188.487	0.176416	1.790887	1.968318
180	-1894.381	-2082.804	188.4237	0.1820644	1.721836	2.044517
